year,CHN_NY.GDP.MKTP.KD.ZG,KOR_NY.GDP.MKTP.KD.ZG,CHN_SL.UEM.TOTL.ZS,KOR_SL.UEM.TOTL.ZS,CHN_NE.CON.PRVT.CD,KOR_NE.CON.PRVT.CD,JPYUSD,CNYUSD,KRWUSD,CNYJPY,KRWJPY
2024,,,4.571,2.604,,,151.45513944223106,7.195725498007968,1363.4381274900397,0.04755034633295138,9.007111857174728
2023,5.24955786387791,1.35673324311098,4.67,2.675,6962835998550.54,838027744535.82,140.5001204819277,7.080916064257028,1306.763734939759,0.05045370026829431,9.315969202833386
2022,2.95066992959268,2.61267219187226,4.98,2.857,6686322357501.49,804832151849.132,131.45892,6.729012399999999,1291.77956,0.051347611861337,9.848551843676772
2021,8.44846941687277,4.30473481906969,4.55,3.639,6792012462740.2,835715004400.972,109.84289156626507,6.450814457831325,1144.8910843373494,0.05877516984227511,10.424251618229196
2020,2.23863835634639,-0.709415359397681,5.0,3.931,5610764153057.19,762811986927.013,106.77544,6.9041904,1180.5554399999999,0.06466064296896744,11.055567069492906
2019,5.95050075367413,2.24397786011012,4.56,3.746,5604610911595.11,803130198243.886,109.01883534136546,6.908139357429719,1165.8015662650603,0.0633958789087689,10.698697376603866
2018,6.7497738324959,2.90740377377135,4.31,3.824,5352579803163.78,828582538610.405,110.39738955823293,6.60904297188755,1099.2925702811244,0.05985191615708534,9.958265461548061
2017,6.94720079331685,3.15963574012777,4.47,3.653,4744801432911.83,771698304722.685,112.09855421686747,6.756870281124498,1129.0435341365462,0.06028713032411462,10.073396861421102
2016,6.84876220495761,2.94688171508626,4.56,3.65,4344482057582.25,719183471280.855,108.65693227091633,6.640016334661355,1159.3421513944222,0.06127922411027404,10.684688188568831
2015,7.04132887873656,2.80910326824133,4.65,3.546,4178288229541.63,711623520881.735,121.04908366533864,6.282743426294821,1130.9602788844622,0.05191622208918912,9.34341746708642
2014,7.42576365632412,3.2024537945736,4.63,3.082,3845381757027.1,741292789027.773,105.7398,6.1619892,1052.2923999999998,0.05843868427321679,9.968911622815636
2013,7.76615009773009,3.16470863647184,4.6,2.747,3429399462293.4,692253072537.689,97.59713147410359,6.147754183266932,1094.674860557769,0.06310873546805677,11.233176343161103
2012,7.86373644862111,2.40253099246186,4.58,2.812,3019244758855.4,655225159736.803,79.81800796812749,6.309262948207171,1126.1621115537848,0.07910317119278708,14.121985260160944
2011,9.55083217877568,3.68566778212526,4.55,2.992,2637032106221.8,641668861601.614,79.69665338645419,6.463019920318725,1106.9400398406376,0.08114395985916531,13.906118304676182
2010,10.6358710644913,6.80482491783671,4.53,3.324,2089510201706.9,576813119346.973,87.78168,6.7696016,1155.7388799999999,0.0772510327601712,13.192683342696531
2009,9.39872563259674,0.792698989518186,4.72,3.363,1802289519669.13,487739030330.558,93.68265873015872,6.830738888888889,1274.6251587301585,0.07301979565567566,13.606434045722636
2008,9.65067891939361,3.01298487281167,4.59,2.959,1621244058713.52,550208806940.758,103.39063492063491,6.947740079365079,1098.706111111111,0.06736824830500408,10.721224569535668
2007,14.2308609331955,5.79954841503216,4.35,3.013,1291237386921.28,615340336847.502,117.76232283464567,7.60578031496063,928.9716535433071,0.06462550363684573,7.896165676738528
2006,12.7209556654032,5.26432659466724,4.43,3.254,1038979271915.08,558528493947.102,116.31207171314742,7.972343824701195,954.3209960159363,0.06856860744483761,8.20710761718412
2005,11.3945918098927,4.30854271411236,4.52,3.482,904940659666.938,489115058859.991,110.10693227091633,8.193587698412697,1023.7491633466136,0.07459669101696186,9.313311655654266
2004,10.1136213776263,5.19739136324382,4.49,3.42,794084030412.233,409231330444.823,108.15083003952569,8.276792885375494,1145.2363636363636,0.07657922122767502,10.589743042970438
2003,10.0380304810393,3.14729119373409,4.58,3.348,709069044985.542,379935469046.945,115.93868525896414,8.277170916334661,1192.081673306773,0.07150110354372163,10.294775611431017
2002,9.13363078966614,7.72514267547173,4.24,3.046,660471836461.154,351859017465.034,125.22043824701196,8.277050996015936,1250.313984063745,0.06622495169543444,9.9857510433622
2001,8.33573347817196,4.85239957151281,3.8,3.699,609692738986.801,303403050640.181,121.56804,8.277013199999999,1292.0149199999998,0.06813690528362432,10.633014275194943
2000,8.49009340597647,9.06083332508534,3.26,4.063,566083849243.776,314018342864.343,107.80404761904761,8.278411507936509,1130.8975396825397,0.07682038328112561,10.49056476871756
